month,nas100_high,nas100_low,nas100_range
2020-01,9235.06,8705.51,529.55
2020-02,9736.45,8347.01,1389.44
2020-03,8913.91,6771.91,2142.00
2020-04,9103.88,7438.31,1665.57
2020-05,9564.70,8703.97,860.73
2020-06,10310.42,9373.55,936.87
2020-07,11069.81,10147.26,922.55
2020-08,12118.02,10903.38,1214.64
2020-09,12439.48,10677.67,1761.81
2020-10,12187.69,10985.39,1202.30
2020-11,12326.54,10956.45,1370.09
2020-12,12899.41,12229.08,670.33
2021-01,13598.92,12543.98,1054.94
2021-02,13879.77,12758.33,1121.44
2021-03,13300.99,12208.40,1092.59
2021-04,14073.32,13293.75,779.57
2021-05,13824.97,12968.74,856.23
2021-06,14572.75,13530.12,1042.63
2021-07,15141.87,14449.65,692.22
2021-08,15708.24,14772.33,935.91
2021-09,15701.40,14646.68,1054.72
2021-10,15934.64,14384.93,1549.71
2021-11,16764.86,15864.04,900.82
2021-12,16607.27,15510.51,1096.76
2022-01,16501.77,13724.85,2776.92
2022-02,15248.94,13065.37,2183.57
2022-03,15265.25,13020.14,2245.11
2022-04,15170.52,12810.02,2360.50
2022-05,13556.70,11492.27,2064.43
2022-06,12896.47,11037.21,1859.26
2022-07,12987.40,11328.77,1658.63
2022-08,13720.91,12143.08,1577.83
2022-09,12270.36,10904.38,1365.98
2022-10,11669.82,10440.64,1229.18
2022-11,12114.92,10615.17,1499.75
2022-12,12166.42,10671.03,1495.39
2023-01,12248.15,10742.06,1506.09
2023-02,12880.89,11901.07,979.82
2023-03,13205.80,11833.86,1371.94
2023-04,13310.22,12724.81,585.41
2023-05,14449.62,12933.20,1516.42
2023-06,15284.63,14249.77,1034.86
2023-07,15932.05,15036.00,896.05
2023-08,15618.34,14557.81,1060.53
2023-09,15581.42,14432.48,1148.94
2023-10,15337.89,14058.27,1279.62
2023-11,16119.88,14402.94,1716.94
2023-12,16969.17,15821.83,1147.34
2024-01,17665.26,16249.19,1416.07
2024-02,18091.24,17314.00,777.24
2024-03,18464.70,17764.50,700.20
2024-04,18337.56,16973.94,1363.62
2024-05,18907.50,17299.88,1607.62
2024-06,20017.75,18477.60,1540.15
2024-07,20690.97,18631.54,2059.43
2024-08,19938.83,17435.29,2503.54
2024-09,20315.22,18384.87,1930.35
2024-10,20551.48,19622.34,929.14
2024-11,21182.16,19880.60,1301.56
2024-12,21885.60,20740.12,1145.48
2025-01,22180.40,21020.15,1160.25
2025-02,22460.90,21340.50,1120.40
2025-03,21950.10,20110.80,1839.30
2025-04,21870.35,19850.40,2019.95
2025-05,22940.60,21220.75,1719.85
2025-06,23880.25,22410.90,1469.35
2025-07,24750.80,23560.10,1190.70
2025-08,24980.45,23240.60,1739.85
2025-09,25620.30,24180.50,1439.80
2025-10,26450.90,25050.25,1400.65
2025-11,27210.15,25890.70,1319.45
2025-12,27690.50,26510.30,1180.20
2026-01,28150.30,26890.15,1260.15
